id,depair,destair,indepartcode,inarrivecode,outflightno,outdepartdate,outdeparttime,outarrivaldate,outarrivaltime,outbookingclass,outflightclass,outcarriercode,inflightno,indepartdate,indeparttime,inarrivaldate,inarrivaltime,inbookingclass,inflightclass,incarriercode,originalprice,originalcurrency,reservation,carrier,oneway
1820191,MAN,DXB,DXB,MAN,EK22,12/01/2018,08:45:00,12/01/2018,19:45:00,,Economy,EK,EK19,20/01/2018,14:40:00,20/01/2018,18:40:00,,Economy,EK,770.48,GBP,JDFWLQ,Emirates,0
1745757,LHR,SIN,DPS,LHR,EK8,12/01/2018,09:10:00,13/01/2018,08:25:00,,Economy,EK,EK361,28/01/2018,16:30:00,29/01/2018,07:10:00,,Economy,EK,1062.94,GBP,UF32PB,Emirates,0
1756512,LHR,SIN,DPS,LHR,EK8,12/01/2018,09:10:00,13/01/2018,08:25:00,,Business,EK,EK361,28/01/2018,16:30:00,29/01/2018,06:50:00,,Business,EK,5556.7,GBP,T4MAX6,Emirates,0
1766351,LHR,SIN,DPS,LHR,EK8,12/01/2018,09:10:00,13/01/2018,08:25:00,,Economy,EK,EK361,28/01/2018,16:30:00,29/01/2018,06:45:00,,Economy,EK,1079.74,GBP,SUZSB9,Emirates,0
1753007,LHR,AUH,SIN,LHR,EY12,12/01/2018,09:00:00,12/01/2018,20:20:00,,Economy,EY,EY473,29/01/2018,19:25:00,30/01/2018,06:40:00,,Economy,EY,1075.74,GBP,WV7IRY,Etihad Airways,0
1761673,MAN,AUH,KUL,MAN,EY16,12/01/2018,08:10:00,12/01/2018,19:25:00,,Economy,EY,EY411,31/01/2018,19:25:00,01/02/2018,06:40:00,,Economy,EY,929.68,GBP,T5K2JG,Etihad Airways,0
1780539,LHR,LAS,LAX,LHR,IB4871,12/01/2018,12:15:00,12/01/2018,15:10:00,,Economy,IB,IB4666,27/01/2018,16:30:00,28/01/2018,10:55:00,,Economy,IB,1000.94,GBP,TN42M7,British Airways,0
1828543,LGW,MCO,MCO,LGW,VS15,12/01/2018,13:00:00,12/01/2018,17:35:00,,Economy,VS,DL4409,22/01/2018,18:45:00,23/01/2018,07:45:00,,Economy,DL,910.6,GBP,OJ5KCT,Virgin Atlantic,0
1828557,LGW,MCO,MCO,LGW,VS15,12/01/2018,13:00:00,12/01/2018,17:35:00,,Economy,VS,DL4409,22/01/2018,18:45:00,23/01/2018,07:45:00,,Economy,DL,910.6,GBP,OM6IUK,Virgin Atlantic,0
1828449,MAN,MCO,MCO,MAN,VS75,12/01/2018,11:30:00,12/01/2018,15:55:00,,Economy,VS,VS76,31/01/2018,18:35:00,01/02/2018,07:25:00,,Economy,VS,793.08,GBP,OBGLLP,Virgin Atlantic,0
1722310,LHR,AUH,SIN,LHR,BA73,13/01/2018,11:45:00,13/01/2018,23:05:00,,Economy,BA,BA12,29/01/2018,23:15:00,30/01/2018,05:15:00,,Economy,BA,828.94,GBP,QXY4PC,British Airways,0
1738864,DEL,DXB,,,EK517,13/01/2018,16:15:00,13/01/2018,18:35:00,,Economy,EK,,,00:00:00,,00:00:00,,,,423.6,GBP,QE7KVB,Emirates,1
1759012,DEL,DXB,,,EK517,13/01/2018,16:15:00,13/01/2018,18:35:00,,Economy,EK,,,00:00:00,,00:00:00,,,,329,GBP,KVBGOL,Emirates,1
1771806,MAN,AUH,SIN,MAN,EY16,13/01/2018,08:10:00,13/01/2018,19:25:00,,Economy,EY,EY473,30/01/2018,19:25:00,31/01/2018,06:40:00,,Economy,EY,846.68,GBP,VB2B8G,Etihad Airways,0
1636218,DEL,AUH,,,EY229,13/01/2018,09:15:00,13/01/2018,11:50:00,,Economy,EY,,,00:00:00,,00:00:00,,,,650.6,GBP,5Q7PIO,Etihad Airways,1
1786987,MAN,JED,MED,MAN,SV124,13/01/2018,11:00:00,13/01/2018,20:15:00,,Economy,SV,SV1455,23/01/2018,00:15:00,23/01/2018,08:30:00,,Economy,SV,981.48,GBP,JN23PC,Saudi Arabian,0
1827772,LHR,MIA,MIA,LHR,VS5,13/01/2018,12:25:00,13/01/2018,17:10:00,,Economy,VS,VS6,21/01/2018,20:45:00,22/01/2018,10:05:00,,Economy,VS,1102.42,GBP,LW2SPZ,Virgin Atlantic,0
1624732,LGW,GOA,GOA,LGW,BA2688,14/01/2018,08:00:00,14/01/2018,11:10:00,,Economy,BA,BA2689,28/01/2018,11:55:00,28/01/2018,13:05:00,,Economy,BA,223,GBP,4T7NF9,British Airways,0
1742247,LHR,SCL,EZE,LHR,BA516,14/01/2018,18:50:00,15/01/2018,09:05:00,,Economy,BA,BA244,02/02/2018,14:20:00,03/02/2018,06:35:00,,Economy,BA,2129.4,GBP,KXRQ3T,Iberia,0
1625654,AUH,DEL,,,EY224,14/01/2018,14:40:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,223.2,GBP,4WOSSD,Etihad Airways,1
1686617,AUH,DEL,,,EY224,14/01/2018,14:40:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,304.2,GBP,KBC2MT,Etihad Airways,1
1694876,AUH,DEL,,,EY224,14/01/2018,14:40:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,302.2,GBP,QOKJB3,Etihad Airways,1
1742990,AUH,DEL,,,EY224,14/01/2018,14:40:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,161.6,GBP,MOQMRC,Etihad Airways,1
1752875,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,183.4,GBP,WOGSNP,Etihad Airways,1
1768255,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,245,GBP,KVQ5RR,Etihad Airways,1
1782793,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,292.2,GBP,LNNVIT,Etihad Airways,1
1782824,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,292.2,GBP,LPX67M,Etihad Airways,1
1785754,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,294.4,GBP,V8Z6AP,Etihad Airways,1
1792212,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,295.6,GBP,VXDJAP,Etihad Airways,1
1803065,AUH,DEL,,,EY224,14/01/2018,14:35:00,14/01/2018,19:30:00,,Economy,EY,,,00:00:00,,00:00:00,,,,149.5,GBP,K3KAWW,Etihad Airways,1
1814956,SCL,EZE,,,H2503,14/01/2018,21:10:00,14/01/2018,23:05:00,,Economy,H2,,,00:00:00,,00:00:00,,,,6071,ARS,R5QPEK,SKY Airlines,1
